EntryDate,EntryTime,EntryPrice,Type,ExitDate,ExitTime,ExitPrice,Symbol,Pnl
06-04-2017,10:37:00,53.75,Sell,06-04-2017,14:33:00,69.9,21600CE,-403.75
06-04-2017,14:31:00,31.5,Sell,06-04-2017,15:15:00,0.1,21500PE,785
07-04-2017,09:30:00,34.95,Sell,07-04-2017,15:15:00,15.35,21800CE,490
07-04-2017,09:30:00,38.5,Sell,07-04-2017,14:47:00,50.05,21300PE,-288.75
07-04-2017,14:44:00,105.2,Buy,07-04-2017,15:15:00,172.75,21500PE,1688.75
10-04-2017,09:30:00,35.15,Sell,10-04-2017,10:05:00,45.7,21600CE,-263.75
10-04-2017,09:30:00,38,Sell,10-04-2017,15:15:00,18.8,21200PE,480
10-04-2017,10:03:00,75.45,Buy,10-04-2017,13:07:00,67.9,21500CE,-188.75
10-04-2017,13:07:00,35.15,Sell,10-04-2017,13:24:00,45.7,21600CE,-263.75
11-04-2017,09:30:00,48.75,Sell,11-04-2017,09:50:00,63.4,21600CE,-366.25
11-04-2017,09:30:00,51.4,Sell,11-04-2017,15:15:00,10.8,21400PE,1015
11-04-2017,09:49:00,106.1,Buy,11-04-2017,15:15:00,244,21500CE,3447.5
12-04-2017,09:30:00,51.9,Sell,12-04-2017,15:15:00,21.8,21800CE,752.5
12-04-2017,09:30:00,54.95,Sell,12-04-2017,09:40:00,71.45,21700PE,-412.5
12-04-2017,13:03:00,114.9,Buy,12-04-2017,13:06:00,91.9,21700CE,-575
12-04-2017,09:39:00,115.4,Buy,12-04-2017,12:02:00,161.6,21800PE,1155
12-04-2017,12:49:00,54.95,Sell,12-04-2017,14:05:00,71.45,21700PE,-412.5
13-04-2017,09:30:00,36.2,Sell,13-04-2017,09:38:00,47.05,21700CE,-271.25
13-04-2017,09:30:00,33.25,Sell,13-04-2017,15:15:00,0.15,21600PE,827.5
13-04-2017,09:38:00,99.35,Buy,13-04-2017,12:29:00,99.4,21600CE,1.25
13-04-2017,12:29:00,36.2,Sell,13-04-2017,13:56:00,47.05,21700CE,-271.25
17-04-2017,09:30:00,56.25,Sell,17-04-2017,15:15:00,47.3,21800CE,223.75
17-04-2017,09:30:00,38.9,Sell,17-04-2017,09:33:00,50.55,21400PE,-291.25
17-04-2017,09:31:00,104.6,Buy,17-04-2017,10:21:00,94.15,21600PE,-261.25
17-04-2017,10:56:00,38.9,Sell,17-04-2017,15:15:00,29.4,21400PE,237.5
