,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType
564,02-07-2020 10:19,02-07-2020 15:20,BANKNIFTY02JUL2022200CE,151.4,0.15,25,-1,3781.25,expiry over
565,02-07-2020 10:24,02-07-2020 15:20,BANKNIFTY02JUL2022100CE,144.7,0.1,25,-1,3615,expiry over
566,02-07-2020 11:11,02-07-2020 15:20,BANKNIFTY02JUL2022900CE,2.5,0.05,25,1,-61.25,expiry over
567,02-07-2020 15:14,02-07-2020 15:20,BANKNIFTY02JUL2022000CE,2.15,0.2,25,-1,48.75,expiry over
568,09-07-2020 09:32,09-07-2020 15:20,BANKNIFTY09JUL2022800CE,108.8,106.55,25,-1,56.25,expiry over
569,09-07-2020 11:11,09-07-2020 15:20,BANKNIFTY09JUL2022800PE,111.65,0.2,25,-1,2786.25,expiry over
570,16-07-2020 09:31,16-07-2020 09:46,BANKNIFTY16JUL2021100CE,119.25,234.55,25,-1,-2882.5,stoploss hit
571,16-07-2020 11:40,16-07-2020 13:03,BANKNIFTY16JUL2021300PE,86.05,157.75,25,-1,-1792.5,stoploss hit
572,16-07-2020 09:40,16-07-2020 15:11,BANKNIFTY16JUL2021100PE,116.05,0.25,25,-1,2895,maxposition hit
573,16-07-2020 15:11,16-07-2020 15:13,BANKNIFTY16JUL2021600PE,2.85,7.7,25,-1,-121.25,stoploss hit
574,16-07-2020 09:46,16-07-2020 15:20,BANKNIFTY16JUL2021200PE,112.3,0.25,25,-1,2801.25,expiry over
575,16-07-2020 11:40,16-07-2020 15:20,BANKNIFTY16JUL2020700PE,3.8,0.15,25,1,-91.25,expiry over
576,16-07-2020 13:44,16-07-2020 15:20,BANKNIFTY16JUL2021300PE,48.35,0.25,25,-1,1202.5,expiry over
577,16-07-2020 14:28,16-07-2020 15:20,BANKNIFTY16JUL2021200PE,4.4,0.25,25,1,-103.75,expiry over
578,16-07-2020 14:28,16-07-2020 15:20,BANKNIFTY16JUL2021400PE,31.65,0.25,25,-1,785,expiry over
579,16-07-2020 15:00,16-07-2020 15:20,BANKNIFTY16JUL2021500PE,10.25,0.65,25,1,-240,expiry over
580,16-07-2020 15:00,16-07-2020 15:20,BANKNIFTY16JUL2021500PE,10.25,0.65,25,-1,240,expiry over
581,23-07-2020 09:32,23-07-2020 12:18,BANKNIFTY23JUL2022900CE,106,205.25,25,-1,-2481.25,stoploss hit
582,23-07-2020 11:15,23-07-2020 15:20,BANKNIFTY23JUL2022900PE,90,0.1,25,-1,2247.5,expiry over
583,23-07-2020 12:17,23-07-2020 15:20,BANKNIFTY23JUL2023000PE,83.7,0.2,25,-1,2087.5,expiry over
584,30-07-2020 14:13,30-07-2020 14:17,BANKNIFTY30JUL2021700PE,47.75,92,25,-1,-1106.25,stoploss hit
585,30-07-2020 09:31,30-07-2020 14:18,BANKNIFTY30JUL2022200CE,102.1,2,25,-1,2502.5,maxposition hit
586,30-07-2020 14:47,30-07-2020 14:58,BANKNIFTY30JUL2021700PE,23.5,47.65,25,-1,-603.75,stoploss hit
587,30-07-2020 12:42,30-07-2020 15:20,BANKNIFTY30JUL2022100CE,68.65,0.25,25,-1,1710,expiry over
588,30-07-2020 13:03,30-07-2020 15:20,BANKNIFTY30JUL2022500CE,2.65,0.2,25,1,-61.25,expiry over
589,30-07-2020 13:03,30-07-2020 15:20,BANKNIFTY30JUL2022000CE,58,0.2,25,-1,1445,expiry over
590,30-07-2020 13:54,30-07-2020 15:20,BANKNIFTY30JUL2022300CE,2.75,0.2,25,1,-63.75,expiry over
