,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType
246,2019-10-24 09:59:00,2019-10-24 13:47:00,BANKNIFTY24OCT1929600CE,94.5,3.85,25,-1,2266.25,maxposition hit
247,2019-10-24 14:45:00,2019-10-24 14:51:00,BANKNIFTY24OCT1929100PE,9.65,17.75,25,-1,-202.5,stoploss hit
248,2019-10-24 15:04:00,2019-10-24 15:08:00,BANKNIFTY24OCT1929100PE,3.7,7.05,25,-1,-83.74999999999999,stoploss hit
249,2019-10-24 10:01:00,2019-10-24 15:20:00,BANKNIFTY24OCT1929500CE,117.5,0.1,25,-1,2935.0,expiry over
250,2019-10-24 10:31:00,2019-10-24 15:20:00,BANKNIFTY24OCT1930300CE,2.7,0.05,25,1,-66.25000000000001,expiry over
251,2019-10-24 13:15:00,2019-10-24 15:20:00,BANKNIFTY24OCT1929400CE,63.0,0.1,25,-1,1572.5,expiry over
252,2019-10-24 13:20:00,2019-10-24 15:20:00,BANKNIFTY24OCT1930000CE,3.7,0.1,25,1,-90.0,expiry over
253,2019-10-24 13:20:00,2019-10-24 15:20:00,BANKNIFTY24OCT1929300CE,74.35,0.15,25,-1,1854.9999999999998,expiry over
254,2019-10-24 13:23:00,2019-10-24 15:20:00,BANKNIFTY24OCT1930000CE,2.8,0.1,25,1,-67.5,expiry over
255,2019-10-24 13:23:00,2019-10-24 15:20:00,BANKNIFTY24OCT1929200CE,82.3,0.25,25,-1,2051.25,expiry over
256,2019-10-24 13:47:00,2019-10-24 15:20:00,BANKNIFTY24OCT1929100CE,56.95,5.45,25,-1,1287.5,expiry over
257,2019-10-31 13:28:00,2019-10-31 14:57:00,BANKNIFTY31OCT1930300PE,84.75,156.6,25,-1,-1796.2499999999998,stoploss hit
258,2019-10-31 15:03:00,2019-10-31 15:10:00,BANKNIFTY31OCT1930100CE,10.0,32.45,25,-1,-561.2500000000001,stoploss hit
259,2019-10-31 10:18:00,2019-10-31 15:20:00,BANKNIFTY31OCT1930200CE,111.9,0.15,25,-1,2793.75,expiry over
260,2019-10-31 10:47:00,2019-10-31 15:20:00,BANKNIFTY31OCT1930200PE,98.3,126.5,25,-1,-705.0000000000001,expiry over
261,2019-10-31 15:20:00,2019-10-31 15:20:00,BANKNIFTY31OCT1930100CE,0.45,0.45,25,-1,-0.0,expiry over
262,2019-11-07 09:32:00,2019-11-07 09:57:00,BANKNIFTY07NOV1930700PE,108.05,214.35,25,-1,-2657.5,stoploss hit
263,2019-11-07 12:31:00,2019-11-07 12:59:00,BANKNIFTY07NOV1930600CE,61.85,127.7,25,-1,-1646.2499999999998,stoploss hit
264,2019-11-07 09:51:00,2019-11-07 15:20:00,BANKNIFTY07NOV1930700CE,81.25,0.25,25,-1,2025.0,expiry over
265,2019-11-14 09:33:00,2019-11-14 10:44:00,BANKNIFTY14NOV1930500CE,93.3,189.25,25,-1,-2398.75,stoploss hit
266,2019-11-14 11:08:00,2019-11-14 11:58:00,BANKNIFTY14NOV1930700PE,86.55,157.9,25,-1,-1783.7500000000002,stoploss hit
267,2019-11-14 10:44:00,2019-11-14 12:10:00,BANKNIFTY14NOV1930600PE,86.25,157.8,25,-1,-1788.7500000000002,stoploss hit
268,2019-11-14 10:42:00,2019-11-14 12:23:00,BANKNIFTY14NOV1930500PE,65.1,122.85,25,-1,-1443.75,stoploss hit
269,2019-11-14 14:11:00,2019-11-14 14:24:00,BANKNIFTY14NOV1930600PE,40.0,78.5,25,-1,-962.5,stoploss hit
270,2019-11-14 11:08:00,2019-11-14 15:20:00,BANKNIFTY14NOV1930000PE,3.05,0.1,25,1,-73.75,expiry over
271,2019-11-14 12:31:00,2019-11-14 15:20:00,BANKNIFTY14NOV1930500PE,67.1,0.1,25,-1,1675.0,expiry over
