,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType,IndexSL
524,2021-03-24 10:20:00,2021-03-25 09:16:00,BANKNIFTY25MAR2133600CE,352.0,59.45,25,-1,7313.75, expiry timeup,33733.2
525,2021-03-24 15:05:00,2021-03-25 11:00:00,BANKNIFTY25MAR2133200CE,341.0,59.05,25,-1,7048.75, expiry timeup,33375.9
526,2021-03-25 13:05:00,2021-03-25 13:38:00,BANKNIFTY01APR2132500CE,720.0,950.0,25,-1,-5750.0,index sl call,32860.45
527,2021-03-25 11:05:00,2021-03-25 13:41:00,BANKNIFTY01APR2132800CE,704.6,817.35,25,-1,-2818.75,index sl call,32984.45
528,2021-03-25 10:00:00,2021-03-25 13:46:00,BANKNIFTY01APR2133000CE,675.9,784.95,25,-1,-2726.250000000002,index sl call,33209.65
529,2021-03-30 09:50:00,2021-03-31 09:27:00,BANKNIFTY01APR2133800PE,475.6,491.8,25,-1,-404.9999999999997,index sl put,33476.8
530,2021-03-26 10:45:00,2021-03-31 11:33:00,BANKNIFTY01APR2133400PE,585.15,449.8,25,-1,3383.749999999999,index sl put,33192.9
531,2021-03-25 14:05:00,2021-04-01 09:16:00,BANKNIFTY01APR2133200PE,564.2,91.1,25,-1,11827.5, expiry timeup,32867.45
532,2021-04-01 10:00:00,2021-04-01 10:55:00,BANKNIFTY08APR2133400PE,487.0,553.15,25,-1,-1653.7499999999995,index sl put,33246.25
533,2021-04-01 11:50:00,2021-04-01 13:08:00,BANKNIFTY08APR2133300CE,570.0,622.9,25,-1,-1322.4999999999995,index sl call,33427.05
534,2021-03-31 09:30:00,2021-04-01 14:11:00,BANKNIFTY01APR2133400CE,385.3,279.3,25,-1,2650.0,index sl call,33623.35
535,2021-04-01 15:10:00,2021-04-05 09:16:00,BANKNIFTY08APR2133800PE,411.95,663.9,25,-1,-6298.75, StopLoss Hit,33717.1
536,2021-04-01 13:40:00,2021-04-05 09:18:00,BANKNIFTY08APR2133600PE,478.4,632.7,25,-1,-3857.500000000002, StopLoss Hit,33474.5
537,2021-04-06 13:05:00,2021-04-06 13:11:00,BANKNIFTY08APR2132500CE,443.65,520.35,25,-1,-1917.5000000000011,index sl call,32638.15
